client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent,bandwidth_per_client_kbps
1,301,260,1762088605960093784000,1762088605960,-1762088604198005112832,48,0.0998733767547487,0.0,83.3968582032423
1,302,261,1762088605960390118000,1762088605962,-1762088604198301335552,48,0.09701621419152401,0.0,70.7108339948795
1,304,263,1762088606011706794000,1762088606011,-1762088604249618120704,48,0.04511282048204495,2.5,154.41730521095045
1,306,265,1762088606062239080000,1762088606062,-1762088604300150308864,0,0.001378545368333395,0.0,65.20388634720238
1,308,267,1762088606112747536000,1762088606113,-1762088604350658904064,0,0.05935660700660153,4.9,180.972672007473
1,310,269,1762088606163160930000,1762088606163,-1762088604401072078848,0,0.02326119910037964,0.0,124.57753113409292
1,390,4,1762088896435244800000,1762088896436,-1762088894673155784704,0,0.05463474367448073,18.1,106.02596347368261
1,391,5,1762088896435949700000,1762088896437,-1762088894673860952064,0,0.04868943590050123,0.0,191.33962498914732
1,392,6,1762088896496628800000,1762088896497,-1762088894734539685888,59,0.07655659811596316,3.1,160.66312213962794
1,393,7,1762088896497015800000,1762088896497,-1762088894734926872576,59,0.02100935843276285,0.0,66.50607211561001
1,394,8,1762088896547910000000,1762088896549,-1762088894785820819456,50,0.01878961924417857,0.0,157.22664958766373
1,395,9,1762088896548542000000,1762088896549,-1762088894786453110784,50,0.07711183000064004,0.0,142.66849994765306
1,396,10,1762088896604527700000,1762088896605,-1762088894842438680576,55,0.09554059537155944,32.4,77.86652262824208
1,397,11,1762088896605251700000,1762088896606,-1762088894843162722304,55,0.07149231768256131,0.0,147.55941778603616
1,398,12,1762088896663410300000,1762088896664,-1762088894901321203712,57,0.04750349417252482,3.2,37.275523106278015
1,399,13,1762088896663910100000,1762088896664,-1762088894901821112320,57,0.09121385307622043,0.0,76.44935347988161
1,400,14,1762088896720776200000,1762088896721,-1762088894958687223808,56,0.039779325605545895,4.0,68.24593679692127
1,401,15,1762088896721342700000,1762088896722,-1762088894959253716992,55,0.02855360659764339,0.0,57.55142813366062
1,402,16,1762088896780429100000,1762088896781,-1762088895018340188160,58,0.09982602236128191,0.0,118.70965108918907
1,403,17,1762088896781078100000,1762088896782,-1762088895018988994560,58,0.043229166862080615,0.0,40.99222838370446
1,404,18,1762088896837304800000,1762088896838,-1762088895075215998976,54,0.03326531361500096,25.0,183.3056596911499
1,405,19,1762088896838008800000,1762088896839,-1762088895075919855616,54,0.09605165911663488,0.0,132.47517454220986
1,406,20,1762088896897117200000,1762088896898,-1762088895135028346880,57,0.08847027756253371,14.8,24.227032208077617
1,407,21,1762088896897724200000,1762088896898,-1762088895135635210240,57,0.05967167050981573,20.0,193.61794391913742
1,408,22,1762088896948139400000,1762088896949,-1762088895186050482176,50,0.06997249018366414,19.2,177.1384140111993
1,409,23,1762088896948655300000,1762088896949,-1762088895186566381568,49,0.09301144581057415,0.0,43.56464745878358
1,410,24,1762088897004480600000,1762088897005,-1762088895242391519232,54,0.06701324600634599,0.0,39.875710958134334
1,411,25,1762088897004906800000,1762088897006,-1762088895242817765376,54,0.08268244813655036,0.0,110.34137563150153
1,412,26,1762088897064046700000,1762088897064,-1762088895301957713920,57,0.06782624171185658,12.5,157.36812423806788
1,413,27,1762088897064398400000,1762088897065,-1762088895302309249024,57,0.023795357238533266,0.0,124.46359909729088
1,414,28,1762088897120881600000,1762088897121,-1762088895358792630272,55,0.01065853845985424,6.2,178.97484843643466
1,415,29,1762088897121318900000,1762088897122,-1762088895359229886464,55,0.08219484476018146,0.0,182.0365976475787
1,416,30,1762088897180330700000,1762088897181,-1762088895418241908736,57,0.07480468660664019,0.0,192.46879685942747
1,417,31,1762088897180776900000,1762088897181,-1762088895418688077824,57,0.015725897862816918,0.0,68.23490182790766
1,418,32,1762088897237761700000,1762088897239,-1762088895475672940544,56,0.016760717451481413,4.2,166.24894777869744
1,419,33,1762088897238370100000,1762088897240,-1762088895476281114624,56,0.07649873757973946,0.0,187.89831047467473
1,420,34,1762088897297303200000,1762088897297,-1762088895535214231552,56,0.016196110286259335,21.2,65.5852016298684
1,421,35,1762088897297640500000,1762088897298,-1762088895535551610880,57,0.09028478358960841,0.0,26.644455982003077
1,422,36,1762088897363292700000,1762088897363,-1762088895601203740672,65,0.08479353712530663,34.4,127.82372430008809
1,423,37,1762088897363609300000,1762088897364,-1762088895601520410624,65,0.049128561870405034,0.0,34.245574030756345
1,424,38,1762088897413918300000,1762088897414,-1762088895651829252096,50,0.02543808499748769,21.2,163.0863295729733
1,425,39,1762088897414440000000,1762088897415,-1762088895652350918656,50,0.021534647088135864,0.0,129.54363457957598
1,426,40,1762088897471075700000,1762088897471,-1762088895708986605568,55,0.002530404448007362,4.2,76.5896675386775
1,427,41,1762088897471447200000,1762088897472,-1762088895709358325760,55,0.002472802597894053,0.0,158.0428926158526
1,428,42,1762088897524433700000,1762088897525,-1762088895762344706048,51,0.030585064617699997,15.6,114.80634287288564
1,429,43,1762088897524799900000,1762088897525,-1762088895762710921216,51,0.004349124184253206,0.0,97.90008764294552
1,430,44,1762088897580894800000,1762088897581,-1762088895818805805056,55,0.07096387546324875,12.5,24.73789539829253
1,431,45,1762088897581256000000,1762088897582,-1762088895819167039488,55,0.06604546339238183,0.0,172.78935654042888
1,432,46,1762088897632688300000,1762088897633,-1762088895870599430144,50,0.05970824495626107,9.4,170.05563214275767
1,433,47,1762088897633138300000,1762088897634,-1762088895871049269248,50,0.044922561803676514,0.0,119.17306741552301
1,434,48,1762088897699354600000,1762088897700,-1762088895937265532928,65,0.0007182328403859684,15.2,41.784803587920095
1,435,49,1762088897699921800000,1762088897701,-1762088895937833074688,65,0.04544564223177209,0.0,182.39969733616334
1,436,50,1762088897764902000000,1762088897766,-1762088896002812805120,64,0.09948426903755093,0.0,59.38990298896381
1,437,51,1762088897765482600000,1762088897766,-1762088896003393454080,64,0.02799898318841028,0.0,24.77657924786265
1,438,52,1762088897815512700000,1762088897816,-1762088896053423636480,49,0.0350315793362394,25.0,198.59244112354887
1,439,53,1762088897816630700000,1762088897817,-1762088896054541942784,48,0.00228800434081452,0.0,73.35989997229157
1,440,54,1762088897871902000000,1762088897872,-1762088896109812908032,54,0.09160061382655607,6.2,70.71287955538202
1,441,55,1762088897872413700000,1762088897873,-1762088896110324613120,55,0.03669081400081756,0.0,191.04346518785908
1,442,56,1762088897932522800000,1762088897933,-1762088896170433708032,59,0.04650149443147929,3.1,174.65632000136733
1,443,57,1762088897933177900000,1762088897934,-1762088896171088805888,59,0.07250705908373901,0.0,87.79230953723014
1,444,58,1762088897998408200000,1762088897999,-1762088896236319145984,63,0.08087694554994382,3.1,46.01441456322467
1,445,59,1762088897998899000000,1762088897999,-1762088896236809879552,64,0.09504339694522228,0.0,199.32044829294324
1,446,60,1762088898051342600000,1762088898052,-1762088896289253621760,51,0.060375120830357065,20.8,181.39407476074115
1,447,61,1762088898051741100000,1762088898052,-1762088896289652342784,51,0.07274986805593028,0.0,178.88983454776542
1,448,62,1762088898104755900000,1762088898105,-1762088896342667034624,52,0.021274070290944337,25.0,68.37512786928974
1,449,63,1762088898105080000000,1762088898106,-1762088896342991044608,52,0.09741723237743659,0.0,123.14452818058716
1,450,64,1762088898157061600000,1762088898157,-1762088896394972626944,51,0.0976121781934508,16.7,141.85054411996884
1,451,65,1762088898157450500000,1762088898158,-1762088896395361648640,51,0.05210004515004588,0.0,94.55071137413329
1,452,66,1762088898214864200000,1762088898215,-1762088896452775116800,56,0.02566479923678724,12.5,77.36628646963713
1,453,67,1762088898215265500000,1762088898215,-1762088896453176459264,56,0.03278509282845591,0.0,187.70064645719705
1,454,68,1762088898265910600000,1762088898266,-1762088896503821631488,50,0.0978236683815806,0.0,100.27416736270347
1,455,69,1762088898266387400000,1762088898267,-1762088896504298471424,50,0.04686500982698322,0.0,170.95138852182635
1,456,70,1762088898323420200000,1762088898324,-1762088896561331306496,56,0.07597097006468753,21.9,121.28324412615942
1,457,71,1762088898324113600000,1762088898325,-1762088896562024677376,56,0.04517828052865522,0.0,154.1073922113854
1,458,72,1762088898382280900000,1762088898383,-1762088896620192071680,57,0.09445491912952984,12.5,132.747739692131
1,459,73,1762088898382941900000,1762088898384,-1762088896620852936704,57,0.04224934287555794,0.0,145.45772964807296
1,460,74,1762088898433290300000,1762088898433,-1762088896671201361920,49,0.05628256545675153,12.5,134.30427826525084
1,461,75,1762088898434378600000,1762088898434,-1762088896672289521664,48,0.0014019892951759095,0.0,89.17999358904034
1,462,76,1762088898499222300000,1762088898500,-1762088896737133199360,64,0.05345624004013266,0.0,67.02517938710258
1,463,77,1762088898499875800000,1762088898501,-1762088896737786986496,64,0.05043655477207483,0.0,162.66193382759923
